momentum  prob11  prob12  prob22
1  1.0  0.0  0.0
2  1.0  0.0  0.0
3  1.0  0.0  0.0
4  1.0  0.0  0.0
5  0.0  1.0  0.0
6  0.0  1.0  0.0
7  0.0  1.0  0.0
8  0.085  0.915  0.0
9  0.0  0.8845  0.1155
10  0.0  0.8405  0.1595
11  0.0  0.792  0.208
12  0.0  0.7785  0.2215
13  0.0  0.7365  0.2635
14  0.0  0.695  0.305
15  0.0  0.6955  0.3045
16  0.0  0.6155  0.3845
17  0.0  0.617  0.383
18  0.0  0.577  0.423
19  0.0  0.534  0.466
20  0.0  0.4775  0.5225
21  0.0  0.468  0.532
22  0.0  0.444  0.556
23  0.0  0.415  0.585
24  0.0  0.3765  0.6235
25  0.0  0.358  0.642
26  0.0  0.3575  0.6425
27  0.0  0.321  0.679
28  0.0  0.3095  0.6905
29  0.0  0.285  0.715
30  0.0  0.2815  0.7185
