momentum--> 1 ** [2000, 0] [0, 0] --- 7603.705508232117 seconds ---
momentum--> 2 ** [2000, 0] [0, 0] --- 11807.888783454895 seconds ---
momentum--> 3 ** [2000, 0] [0, 0] --- 14840.00366449356 seconds ---
momentum--> 4 ** [2000, 0] [0, 0] --- 17261.927872657776 seconds ---
momentum--> 5 ** [0, 2000] [0, 0] --- 19157.680144548416 seconds ---
momentum--> 6 ** [0, 2000] [0, 0] --- 20690.67817258835 seconds ---
momentum--> 7 ** [0, 2000] [0, 0] --- 21989.189516544342 seconds ---
momentum--> 8 ** [162, 1838] [0, 0] --- 23153.466284513474 seconds ---
momentum--> 9 ** [0, 1768] [0, 232] --- 24548.847216129303 seconds ---
momentum--> 10 ** [0, 1703] [0, 297] --- 25537.373386621475 seconds ---
momentum--> 11 ** [0, 1642] [0, 358] --- 26413.407007217407 seconds ---
momentum--> 12 ** [0, 1565] [0, 435] --- 27208.26806640625 seconds ---
momentum--> 13 ** [0, 1467] [0, 533] --- 27939.0363612175 seconds ---
momentum--> 14 ** [0, 1432] [0, 568] --- 28611.70770716667 seconds ---
momentum--> 15 ** [0, 1295] [0, 705] --- 29239.283410787582 seconds ---
momentum--> 16 ** [0, 1260] [0, 740] --- 29825.140724658966 seconds ---
momentum--> 17 ** [0, 1190] [0, 810] --- 30375.421257019043 seconds ---
momentum--> 18 ** [0, 1127] [0, 873] --- 30893.4769115448 seconds ---
momentum--> 19 ** [0, 1013] [0, 987] --- 31385.09997868538 seconds ---
momentum--> 20 ** [0, 1008] [0, 992] --- 31853.44461250305 seconds ---
momentum--> 21 ** [0, 935] [0, 1065] --- 32296.59814095497 seconds ---
momentum--> 22 ** [0, 871] [0, 1129] --- 32717.449700832367 seconds ---
momentum--> 23 ** [0, 845] [0, 1155] --- 33118.70664525032 seconds ---
momentum--> 24 ** [0, 751] [0, 1249] --- 33502.93734884262 seconds ---
momentum--> 25 ** [0, 717] [0, 1283] --- 33871.0916287899 seconds ---
momentum--> 26 ** [0, 709] [0, 1291] --- 34224.64679098129 seconds ---
momentum--> 27 ** [0, 683] [0, 1317] --- 34564.6090028286 seconds ---
momentum--> 28 ** [0, 624] [0, 1376] --- 34892.156635284424 seconds ---
momentum--> 29 ** [0, 595] [0, 1405] --- 35208.261857032776 seconds ---
